codanum,focal,whale,codatype,Duration,handv
5041,True,ATWOOD,1+1+3,0.8801833,
5063,True,ATWOOD,6i,0.4051,a
5064,True,ATWOOD,5R1,0.3193417,a
5065,True,ATWOOD,5R1,0.3226834,a
5066,True,ATWOOD,6i,0.3707417,a
5067,True,ATWOOD,5R1,0.3498417,a
5068,True,ATWOOD,5-NOISE,0.4289,a
5069,True,ATWOOD,5R1,0.3549083,a
5070,True,ATWOOD,5R1,0.361125,a
5071,True,ATWOOD,5R1,0.3395083,a
5072,True,ATWOOD,5R1,0.38335,a
5073,True,ATWOOD,6i,0.3901584,a
5074,True,ATWOOD,5-NOISE,0.4190967,a
5086,True,ATWOOD,6-NOISE,1.040589,a
5087,True,ATWOOD,6-NOISE,1.2605093,a
5088,True,ATWOOD,10R,1.8615024,a
5089,True,ATWOOD,1+1+3,0.8975,i
5090,True,ATWOOD,1+1+3,0.9174917,i
5091,True,ATWOOD,1+1+3,0.9704917,a
5092,True,ATWOOD,1+1+3,1.0154607,a
5093,True,ATWOOD,1+1+3,1.1311156,a
5094,True,ATWOOD,1+1+3,1.1443636,a
5095,True,ATWOOD,1+1+3,1.2213475,a
5096,True,ATWOOD,1+1+3,1.2376598,a
5119,True,ATWOOD,1+1+3,1.2470963,a
5120,True,ATWOOD,1+1+3,1.2423655,a
5121,True,ATWOOD,1+1+3,1.2840083,a
5122,True,ATWOOD,1+1+3,1.2476267,a
5123,True,ATWOOD,1+1+3,1.20455,a
5124,True,ATWOOD,1+1+3,1.3499,a
5125,True,ATWOOD,1+1+3,1.4196084,a
5126,True,ATWOOD,1+1+3,1.3377519,a
5127,True,ATWOOD,6-NOISE,0.9990958,a
5128,True,ATWOOD,8D,1.6578432,i
5129,True,ATWOOD,7D2,1.4578167,i
5130,True,ATWOOD,9-NOISE,1.709325,i
5160,True,ATWOOD,5R1,0.3293314,a
5161,True,ATWOOD,5R1,0.317,a
5162,True,ATWOOD,5R1,0.3385,a
5163,True,ATWOOD,1+1+3,0.767025,a
5164,True,ATWOOD,1+1+3,0.7648167,i
5165,True,ATWOOD,1+1+3,0.77085,a
5166,True,ATWOOD,1+1+3,0.78275,a
5167,True,ATWOOD,1+1+3,0.7545333,a
5168,True,ATWOOD,1+1+3,0.736125,a
